                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2857,                 3.0548,                 1.6684,                0.01176,                0.77916,                0.17234,                0.09023,                 1.5971,                 3.0444,                 1.3029,                0.00056,                0.00056,                0.00056
                      1,                  1.657,                 1.8272,                 1.2635,                0.12348,                0.27061,                0.12367,                0.06192,                  1.586,                 3.3752,                 1.5097,              0.0011344,              0.0011344,              0.0011344
                      2,                 1.6258,                 1.6701,                 1.2495,                0.65537,                0.52255,                0.52097,                 0.2786,                 1.6647,                 2.2328,                 1.5093,               0.001703,               0.001703,               0.001703
                      3,                 1.6121,                 1.6325,                 1.2725,                0.73477,                0.50389,                0.59874,                0.32495,                 1.5879,                 1.9583,                 1.5799,              0.0019703,              0.0019703,              0.0019703
                      4,                  1.542,                 1.5474,                  1.223,                0.52511,                0.48834,                0.45017,                 0.2283,                 1.6556,                 1.9139,                 1.5838,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.5166,                 1.4714,                  1.209,                0.57363,                0.51322,                0.50366,                0.27873,                 1.5773,                 1.8827,                 1.4116,              0.0019604,              0.0019604,              0.0019604
                      6,                  1.512,                 1.3953,                 1.2129,                 0.6679,                0.56765,                0.58756,                0.29723,                 1.6045,                  1.926,                 1.3737,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.4804,                  1.376,                 1.1934,                0.73504,                0.61742,                0.69504,                0.38747,                 1.5082,                 1.6395,                 1.3428,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.4326,                 1.2805,                 1.1588,                0.79443,                0.61431,                0.69837,                0.40169,                  1.416,                 1.4476,                 1.2983,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.4651,                 1.3171,                 1.2046,                0.71605,                0.63142,                 0.6846,                0.39658,                 1.3913,                 1.5973,                 1.2669,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.4239,                 1.2754,                 1.1655,                0.81718,                0.62208,                 0.7227,                0.42547,                 1.4152,                 1.3476,                 1.2686,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.4437,                  1.245,                 1.1631,                0.74867,                0.65321,                0.74578,                0.43879,                 1.3653,                 1.2736,                 1.2256,               0.001901,               0.001901,               0.001901
                     12,                 1.3899,                 1.2117,                 1.1465,                0.75038,                0.69984,                0.76982,                 0.4485,                 1.3762,                 1.4529,                 1.2397,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.3942,                  1.197,                 1.1549,                0.71388,                0.68294,                0.72902,                0.40417,                  1.461,                 1.2641,                 1.2668,              0.0018812,              0.0018812,              0.0018812
