                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1669,                 2.6699,                 1.7101,                0.01895,                0.39658,                0.01483,                0.00618,                 2.3027,                 9.4508,                 6.3105,                 0.0748,                 0.0028,                 0.0028
                      1,                 1.8261,                 1.8065,                 1.4857,                0.00329,                0.21773,                0.00201,                0.00058,                 2.9741,                    inf,                 5.4197,               0.048672,              0.0056718,              0.0056718
                      2,                 1.8256,                 1.6893,                 1.4801,                0.05279,                0.40747,                0.04977,                0.01781,                 2.4534,                 63.565,                 3.2129,               0.022515,              0.0085149,              0.0085149
                      3,                 1.8098,                  1.702,                 1.4897,                0.10961,                0.09953,                0.05948,                0.02308,                 2.1058,                 9.0214,                 2.0521,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.7379,                 1.6343,                 1.4474,                0.20866,                0.41524,                0.20123,                0.09722,                 1.6533,                 9.0025,                 1.6409,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6872,                 1.5464,                 1.4135,                 0.1499,                0.36858,                0.11549,                  0.055,                 1.8522,                 5.7579,                 1.8861,               0.009802,               0.009802,               0.009802
                      6,                 1.6681,                 1.4826,                 1.4253,                0.05037,                0.31571,                0.04523,                0.01972,                  1.857,                 22.899,                 1.8677,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6837,                 1.4686,                 1.4182,                0.29201,                0.34526,                0.20156,                0.09465,                  1.818,                 3.6066,                 1.7901,               0.009703,               0.009703,               0.009703
                      8,                 1.6528,                 1.4079,                 1.4034,                0.39275,                0.44168,                0.31842,                0.15986,                 1.7347,                 2.1848,                 1.7104,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6597,                 1.4679,                 1.4455,                0.43603,                0.48989,                0.35509,                0.18155,                 1.5824,                 2.1936,                 1.5924,               0.009604,               0.009604,               0.009604
